Docket_Number,Violation_Number,Issued_Date,Issuing_Department,Last_Hearing_Date,Property_Address,Violation_Type,EntityorPerson(s),Disposition_Description
18CP020582,P005607647,2/22/2018,POLICE,4/6/2018 9:00,6941 S TALMAN ,13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit
18CP020582,P005607648,2/22/2018,POLICE,4/6/2018 9:00,6941 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK, ",City non-suit
18CP020582,P005607649,2/22/2018,POLICE,4/6/2018 9:00,6941 S TALMAN ,13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit
18CP020582,P005607668,2/22/2018,POLICE,4/6/2018 9:00,6941 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK, ",City non-suit
18CP020582,P005607669,2/22/2018,POLICE,4/6/2018 9:00,6941 S TALMAN ,13-12-140  Watchman required,"JP MORGAN CHASE BANK, ",City non-suit
18CP020582,P005607670,2/22/2018,POLICE,4/6/2018 9:00,6941 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK, ",City non-suit
18CP019232,P005593517,2/16/2018,POLICE,4/6/2018 11:00,8328 S MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",City non-suit
18CP019232,P005593518,2/16/2018,POLICE,4/6/2018 11:00,8328 S MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",City non-suit
18CP019232,P005593519,2/16/2018,POLICE,4/6/2018 11:00,8328 S MARQUETTE ,13-12-125  Duty to secure and maintain vacant building.,"DEUTSCHE BANK, ",City non-suit
18CP019232,P005593529,2/16/2018,POLICE,4/6/2018 11:00,8328 S MARQUETTE ,13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit
18CP019232,P005593530,2/16/2018,POLICE,4/6/2018 11:00,8328 S MARQUETTE ,13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit
18CP019232,P005593531,2/16/2018,POLICE,4/6/2018 11:00,8328 S MARQUETTE ,13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit
18CP018407,P005545538,2/13/2018,POLICE,4/6/2018 9:00,7328 S DAMEN ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP018407,P005545539,2/13/2018,POLICE,4/6/2018 9:00,7328 S DAMEN ,13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP018407,P005545540,2/13/2018,POLICE,4/6/2018 9:00,7328 S DAMEN ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP018407,P005545541,2/13/2018,POLICE,4/6/2018 9:00,7328 S DAMEN ,13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP018407,P005545542,2/13/2018,POLICE,4/6/2018 9:00,7328 S DAMEN ,13-12-125  Duty to secure and maintain vacant building.,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP018407,P005545543,2/13/2018,POLICE,4/6/2018 9:00,7328 S DAMEN ,13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit
18CP020741,P005468228,2/13/2018,POLICE,4/6/2018 1:00,4448 W VAN BUREN ,13-12-125  Duty to secure and maintain vacant building.,"AURORA LOAN SERVICES LLC, ",City non-suit
18CP020741,P005468229,2/13/2018,POLICE,4/6/2018 1:00,4448 W VAN BUREN ,13-12-140  Watchman required,"AURORA LOAN SERVICES LLC, ",City non-suit
