PERMIT_NUMBER,  PERMIT_TYPE,         ISSUE_DATE,        ESTIMATED_COST,         AMOUNT_WAIVED,   AMOUNT_PAID,    TOTAL_FEE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,  SUFFIX,CONTRACTOR_1_TYPE,CONTRACTOR_1_NAME,CONTRACTOR_1_ADDRESS,CONTRACTOR_1_CITY,CONTRACTOR_1_STATE,CONTRACTOR_1_ZIPCODE,CONTRACTOR_1_PHONE,CONTRACTOR_2_TYPE,CONTRACTOR_2_NAME,CONTRACTOR_2_ADDRESS,CONTRACTOR_2_CITY,CONTRACTOR_2_STATE,CONTRACTOR_2_ZIPCODE,CONTRACTOR_2_PHONE,CONTRACTOR_3_TYPE,CONTRACTOR_3_NAME,CONTRACTOR_3_ADDRESS,CONTRACTOR_3_CITY,CONTRACTOR_3_STATE,CONTRACTOR_3_ZIPCODE,Latitude,Longitude,CONTRACTOR_3_PHONE,LOCATION
100730082,PERMIT - SIGNS,4/3/2018,"$1,000.00 ",$0.00 ,$200.00 ,$200.00 ,605,N,WELLS,ST,SIGN CONTRACTOR,SIGNCO,1327 N 31ST AVENUE,MELROSE PARK,IL,60160,(708)865-1717,CONTRACTOR-ELECTRICAL,"SIGNCO, INC.",1327 N. 31ST AVENUE,MELROSE PARK,IL,60160,(708)865-1717,OWNER,ANTHONY STAFANI,205 54TH ST UNIT 3B,KENOSHA,WI,53140,41.89257434,-87.6339488,,"(41.8925743372172, -87.63394880128168)"
100754958,PERMIT - ELECTRIC WIRING,4/3/2018,$750.00 ,$0.00 ,$75.00 ,$75.00 ,9316,S,WOODLAWN,AVE,CONTRACTOR-ELECTRICAL,KENNETH MORROW,10015 S OGLESBY,CHICAGO,IL,60617-,(708)582-9310 x,OWNER,ACRUST CAMERON,9316 S WOODLAWN AVE 9316 WOODLAWN,CHICAGO,IL,60619,,,,,,,,41.72531168,-87.59501046,,"(41.725311676541864, -87.5950104554376)"
100754959,PERMIT - ELECTRIC WIRING,4/3/2018,"$25,000.00 ",$0.00 ,$75.00 ,$75.00 ,1343,W,CULLERTON,ST,CONTRACTOR-ELECTRICAL,CHAVEZ ELECTRIC,2131 N. LAPORTE,CHICAGO,IL,60639-,(773)622-8099 x,,,,,,,,,,,,,,41.85505573,-87.66051224,,"(41.85505572561239, -87.66051224226273)"
100754960,PERMIT - ELECTRIC WIRING,4/3/2018,"$25,000.00 ",$0.00 ,$75.00 ,$75.00 ,1343,W,CULLERTON,ST,CONTRACTOR-ELECTRICAL,CHAVEZ ELECTRIC,2131 N. LAPORTE,CHICAGO,IL,60639-,(773)622-8099 x,,,,,,,,,,,,,,41.85505573,-87.66051224,,"(41.85505572561239, -87.66051224226273)"
100729785,PERMIT - SIGNS,4/2/2018,"$3,500.00 ",$0.00 ,$200.00 ,$200.00 ,2444,W,MADISON,ST,SIGN CONTRACTOR,MODERN SIGNS INC,1727 ARMITAGE CT,ADDISON,IL,60101-,(630)495-1725 x,CONTRACTOR-ELECTRICAL,"MODERN SIGNS, INC.",1727 ARMITAGE COURT,ADDISON,IL,60101,(630)495-1725,,,,,,,41.88125113,-87.68823668,,"(41.8812511327165, -87.68823667645573)"
100754720,PERMIT - ELECTRIC WIRING,4/2/2018,$1.00 ,$0.00 ,$150.00 ,$150.00 ,111,E,PEARSON,ST,CONTRACTOR-ELECTRICAL,ROBERT MAY ELECTRIC,6907 N KILPATRICK,LINCOLNWOOD,IL,60712-,(312)342-6329 x,,,,,,,,,,,,,,41.89743978,-87.62554811,,"(41.897439777099365, -87.62554810836839)"
100754721,PERMIT - ELECTRIC WIRING,4/2/2018,$1.00 ,$0.00 ,$150.00 ,$150.00 ,25,E,PEARSON,ST,CONTRACTOR-ELECTRICAL,ROBERT MAY ELECTRIC,6907 N KILPATRICK,LINCOLNWOOD,IL,60712-,(312)342-6329 x,,,,,,,,,,,,,,41.8974266,-87.62711023,,"(41.89742660194131, -87.62711022579533)"
100754722,PERMIT - ELECTRIC WIRING,4/2/2018,$1.00 ,$0.00 ,$150.00 ,$150.00 ,26,E,PEARSON,ST,CONTRACTOR-ELECTRICAL,ROBERT MAY ELECTRIC,6907 N KILPATRICK,LINCOLNWOOD,IL,60712-,(312)342-6329 x,,,,,,,,,,,,,,41.89764609,-87.62711576,,"(41.89764609432288, -87.62711576012906)"
100754723,PERMIT - ELECTRIC WIRING,4/2/2018,$1.00 ,$0.00 ,$150.00 ,$150.00 ,1,E,PEARSON,ST,CONTRACTOR-ELECTRICAL,ROBERT MAY ELECTRIC,6907 N KILPATRICK,LINCOLNWOOD,IL,60712-,(312)342-6329 x,,,,,,,,,,,,,,41.89741139,-87.62815184,,"(41.89741139011913, -87.6281518348007)"
100754724,PERMIT - ELECTRIC WIRING,4/2/2018,$1.00 ,$0.00 ,$150.00 ,$150.00 ,16,E,PEARSON,ST,CONTRACTOR-ELECTRICAL,ROBERT MAY ELECTRIC,6907 N KILPATRICK,LINCOLNWOOD,IL,60712-,(312)342-6329 x,,,,,,,,,,,,,,41.8976401,-87.62754979,,"(41.897640097403965, -87.62754979213568)"
100752141,PERMIT - EASY PERMIT PROCESS,4/2/2018,"$30,000.00 ",$0.00 ,$300.00 ,$300.00 ,400,E,RANDOLPH,ST,CONTRACTOR-GENERAL CONTRACTOR,TAHOE BAILEY REAL ESTATE LLC,400 EAST RANDOLPH STREET UNIT 3124,CHICAGO,IL,60601,(312)554-9718,CONTRACTOR-PLUMBER/PLUMBING,JOSE T. ROQUE INC.,815 N MILWAUKEE,CHICAGO,IL,60642,(312)829-6165,OWNER,KYLE PATRICK CONCANNON,400 E. RANDOLPH # 3124,CHGO,IL,60601,41.88464637,-87.6172485,,"(41.8846463654345, -87.61724849623945)"
100605998,PERMIT - NEW CONSTRUCTION,4/2/2018,"$1,415,500.00 ",$0.00 ,"$5,000.00 ","$5,000.00 ",6117,S,UNIVERSITY,AVE,OWNER,MCINERNEY BUILDERS LLC .,9435 S. 83RD CT,HICKORY HILLS,IL,60467,,ARCHITECT,HANNA JOHN C,,,,,,CONTRACTOR-ELECTRICAL,SH ELECTRICAL CONTRACTORS INC.,2436 N NEWCASTLE,CHICAGO,IL,60707-,41.7836068,-87.59774951,(312)404-6948 X,"(41.78360679885473, -87.59774951171313)"
100659091,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$25,000.00 ",$0.00 ,$275.00 ,$275.00 ,1748,W,21ST,ST,OWNER OCCUPIED,EDUARDO PEREZ ESTEFANA VALADEZ,1748 W 21ST ST,CHICAGO,IL,60608,,ARCHITECT,KACPRZYNSKI ANDRZEJ,,,,,,EXPEDITOR,AGATA J. BIELUT,"9449  BAY COLONY DR. FLOOR 1ST, APT./SUITE 1S",DES PLAINES,IL,60016-,41.85419242,-87.6704953,(773)829-7477 X,"(41.85419242294005, -87.67049529694168)"
100703908,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$21,000.00 ",$0.00 ,$350.00 ,$350.00 ,7526,N,WINCHESTER,AVE,OWNER OCCUPIED,L. GONZALES,7526 N. WINCHESTER,CHICAGO,IL,60626,,ARCHITECT,GARRISON HOWARD A,,,,,,CONTRACTOR-ELECTRICAL,CONTRAST ELECTRICAL SERVICES,15312 S. ASHLAND,HARVEY,IL,60426-,42.01873321,-87.6791942,(708)335-3207 x,"(42.01873321282422, -87.67919419675766)"
100717426,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$6,900,000.00 ","$13,191.24 ",$0.00 ,"$13,191.24 ",1865,W,MONTVALE,AVE,OWNER OCCUPIED,FOREST CLAYPOOL,1865 W MONTVALE AVE,CHICAGO,IL,60643,,ARCHITECT,MATTHEWS GARY L,,,,,,SELF CERT ARCHITECT,MATTHEWS GARY L,,,,,41.68939069,-87.66916143,,"(41.689390687196855, -87.66916143368113)"
100723656,PERMIT - NEW CONSTRUCTION,4/2/2018,"$60,000.00 ",$0.00 ,$525.00 ,$525.00 ,1980,N,MILWAUKEE,AVE,STRUCTURAL ENGINEER,KOHOUT CHRISTOPHER,,,,,,CONTRACTOR-GENERAL CONTRACTOR,CLAYCO INC.,2199 INNERBELT BUSINESS CENTER DRIVE.,ST. LOUIS,MO,63114,(314)429-5100,MASONRY CONTRACTOR,SCURTO CEMENT COMPANY,768 W ROSILAND DRIVE,PALATINE,IL,60078,41.9173351,-87.68845365,(847)931-7023,"(41.91733510177551, -87.68845364640848)"
100732031,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$52,000.00 ",$0.00 ,$350.00 ,$350.00 ,3001,W,FULTON,BLVD,OWNER OCCUPIED,JOSE GONZALEZ,3001 W FULTON BLVD,CHICAGO,IL,60612,,ARCHITECT,HUDSON BRYAN,,,,,,CONTRACTOR-ELECTRICAL,BENION ENTERPRISES,7137 S. CRANDON,CHICAGO,IL,60649,41.88636945,-87.70142584,(773)684-4421,"(41.88636945230631, -87.70142584197018)"
100732708,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$70,000.00 ",$0.00 ,"$1,800.00 ","$1,800.00 ",103,E,BELLEVUE,PL,OWNER OCCUPIED,THOMAS & VIGINIA GOHAGAN,103 E BELLEVUE PL,CHICAGO,IL,60611,,ARCHITECT,FIORINO MICHAEL S,,,,,,CONTRACTOR-ELECTRICAL,MULCRONE CONSTRUCTION COMPANY,5440 N. MULLIGAN,CHICAGO,IL,60630,41.90149267,-87.62558508,(708)243-4846,"(41.90149267284693, -87.62558508115283)"
100734415,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$20,000.00 ",$0.00 ,$375.00 ,$375.00 ,5701,W,FULLERTON,AVE,OWNER,HUSSEIN SALEH,5006 N. KOLMAR,CHICAGO,IL,60630,,ARCHITECT,MALANYAON RODERICK A,,,,,,CONTRACTOR-ELECTRICAL,CHAVEZ ELECTRIC,2131 N. LAPORTE,CHICAGO,IL,60639-,41.92383167,-87.76847884,(773)622-8099 x,"(41.92383167138669, -87.76847884366713)"
100736817,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$20,000.00 ",$0.00 ,"$1,575.00 ","$1,575.00 ",1455,S,MICHIGAN,AVE,OWNER OCCUPIED,MICHAEL ZHOU GENERATION EDUCTION LLC,1455 S MICHIGAN AVE,CHICAGO,IL,60605,,ARCHITECT,FENG ZISONG,,,,,,CONTRACTOR-ELECTRICAL,E.J. ELECTRIC,2435 E. 83RD ST.,CHICAGO,IL,60617-,41.86257762,-87.62389516,(773)909-3351 X,"(41.862577616329474, -87.62389516152777)"
100736818,PERMIT - REINSTATE REVOKED PMT,4/2/2018,$0.00 ,$0.00 ,"$1,553.00 ","$1,553.00 ",3054,W,JACKSON,BLVD,CONTRACTOR-GENERAL CONTRACTOR,"REDMON CONSTRUCTION, INC.",6625 MAPLE STREET,MORTON GROVE,IL,60053,(312)735-6261,OWNER,DANIEL KIVARKIS,6029 N. ARTESIAN AVE,CHICAGO,IL,60659,,,,,,,,41.87745883,-87.70332311,,"(41.87745882983951, -87.70332310486373)"
100740760,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$30,000.00 ",$0.00 ,$550.00 ,$550.00 ,2250,W,CULLOM,AVE,ARCHITECT,TROJANOWSKI JOSEPH M,,,,,,CONTRACTOR-ELECTRICAL,"EM POWER CONTRACTORS, INC.",3323 N. KOLMAR AVE.,CHICAGO,IL,60641-,(773)704-1164 x,EXPEDITOR,CHICAGO BUILDING CONSULTING SE,205 W. RANDOLPH ST. APT./SUITE 935,CHICAGO,IL,60606-,41.95963944,-87.68580765,(312)368-5166 x,"(41.959639442608065, -87.68580764943215)"
100740771,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$50,000.00 ",$0.00 ,$825.00 ,$825.00 ,2746,N,CLARK,ST,SELF CERT ARCHITECT,GENSBURG SARA,,,,,,CONTRACTOR-ELECTRICAL,"GARZA ELECTRICAL, INC.",10429 S. AVENUE N,CHICAGO,IL,60617-,(773)491-8685 X,CONTRACTOR-GENERAL CONTRACTOR,IMPACT CONSTRUCTION LLC,2935 SOUTH PRINCETON AVENUE,CHICAGO,IL,60616,41.93252164,-87.64500524,(312)593-3425,"(41.93252164430833, -87.64500523468176)"
100742780,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$300,000.00 ",$0.00 ,$375.00 ,$375.00 ,3323,W,111TH,ST,OWNER,MIKE GRANT,3333 W 111TH ST,CHICAGO,IL,60655,,ARCHITECT,MCDONNELL IAN,,,,,,STRUCTURAL ENGINEER,"LEWIS, BRIAN ELLIOTT",,,,,41.69140425,-87.70428242,,"(41.69140425433916, -87.70428241797512)"
100752382,PERMIT - NEW CONSTRUCTION,4/2/2018,"$8,000.00 ",$0.00 ,$663.00 ,$663.00 ,5400,N,ST LOUIS,AVE,TENT CONTRACTOR,"STELLAR PRODUCTIONS, INC.",1201 LAURA LANE,LAKE BLUFF,IL,60044,(847)816-7080 x,ARCHITECT,SKIFFINGTON DAVID PATRICK,,,,,,OWNER OCCUPIED,DON MUSS WTTW,5400 N ST LOUIS AVE,CHICAGO,IL,60625,41.97941814,-87.71621618,,"(41.97941814172241, -87.71621617812202)"
100754798,PERMIT - ELECTRIC WIRING,4/2/2018,$75.00 ,$0.00 ,$75.00 ,$75.00 ,200,S,WACKER,DR,CONTRACTOR-ELECTRICAL,"CECO, INC.",200 W. JACKSON BLVD - SUITE 1340,CHICAGO,IL,60606,(312)662-0134,,,,,,,,,,,,,,41.87928364,-87.6371007,,"(41.87928363996398, -87.63710070443776)"
100743224,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$150,000.00 ",$0.00 ,$350.00 ,$350.00 ,5313,S,RUTHERFORD,AVE,OWNER OCCUPIED,BRIAN CONNORS & ELIZABETH JALLOWAY,5313 S RUTHERFORD AVE,CHICAGO,IL,60638,,ARCHITECT,MCDONNELL IAN,,,,,,CONTRACTOR-ELECTRICAL,KILLEEN ELECTRIC INC.,7809 NATCHEZ AVE,BURBANK,IL,60459-,41.79549721,-87.79030045,(708)670-0943 x,"(41.795497206211074, -87.79030044540659)"
100744332,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$147,000.00 ",$0.00 ,$747.75 ,$747.75 ,3660,N,LAKE SHORE,DR,OWNER,THE NEW YORK PRIVATE RESIDENCE CONDO ASSC,3660 N LAKE SHORE DR,CHICAGO,IL,60613,,ARCHITECT,ZORDAN THOMAS F,,,,,,EXPEDITOR,HUGH EXPEDITING,15 W. 226 CONCORD ST.,ELMHUSRT,IL,60126-,41.95017257,-87.64454816,(312)641-3521 X,"(41.95017256462572, -87.6445481581548)"
100744767,PERMIT - NEW CONSTRUCTION,4/2/2018,"$92,000.00 ",$0.00 ,$375.00 ,$375.00 ,110,W,HURON,ST,OWNER,JACK RYDEN,640 NORTH LASALLE STREET SUITE 275,CHICAGO,IL,60654,,STRUCTURAL ENGINEER,"TINDER, JOSEPH B.",,,,,,CONTRACTOR-GENERAL CONTRACTOR,PEPPER CONSTRUCTION COMPANY,643 NORTH ORLEANS STREET,CHICAGO,IL,60610-,41.89493551,-87.63172085,(312)266-4700 x,"(41.89493550769721, -87.63172084463201)"
100744832,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$10,000.00 ",$0.00 ,$375.00 ,$375.00 ,2905,N,CENTRAL PARK,AVE,OWNER OCCUPIED,RUSHIM BAINS,2905 N CENTRAL PARK AVE,CHICAGO,IL,60618,,ARCHITECT,MAHAKALI PRASHANTH K,,,,,,CONTRACTOR-GENERAL CONTRACTOR,"FASTLANE CONSTRUCTION, LLC",1928 W IRVING PARK,CHICAGO,IL,60613,41.93401474,-87.71709827,(773)410-1633,"(41.93401473784612, -87.71709826674754)"
100745065,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$75,000.00 ",$0.00 ,$375.00 ,$375.00 ,770,W,GLADYS,AVE,SELF CERT ARCHITECT,"NICOLAIE, CRISTIAN M",,,,,,CONTRACTOR-ELECTRICAL,THE RIGHT APPROACH,251 S. MASON ST.,BENSENVILLE,IL,60106,(630)606-0814,CONTRACTOR-GENERAL CONTRACTOR,SHREEJI CONSTRUCTION INC,500 SOUTH HICKS ROAD,PALATINE,IL,60067,41.87742612,-87.64673755,(847)219-4241,"(41.87742611717029, -87.64673755222287)"
100746653,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$8,000.00 ",$0.00 ,$550.00 ,$550.00 ,4101,N,WESTERN,AVE,OWNER OCCUPIED,PHILIP NEAL,4101 N WESTERN AVE,CHICAGO,IL,60618,,ARCHITECT,JEFFERS CAROL ANNE,,,,,,CONTRACTOR-ELECTRICAL,T & D ELECTRICAL LLC,4052 N ELSTON AVE,CHICAGO,IL,60618,41.95589466,-87.68837475,(773)481-9225,"(41.95589466343702, -87.68837475178319)"
100747415,PERMIT - WRECKING/DEMOLITION,4/2/2018,$1.00 ,$0.00 ,$500.00 ,$500.00 ,4749,W,LAKE,ST,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,P.O.BOX 12570,CHICAGO,IL,60612-,(708)344-7450 x,OWNER,WILLIE FUNCHES,1110 COLUMBIAN AVE,OAK PARK,IL,60302-1226,,,,,,,,41.88646094,-87.74501282,,"(41.88646093631723, -87.74501282019504)"
100747710,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$310,000.00 ",$0.00 ,$375.00 ,$375.00 ,150,N,MICHIGAN,AVE,OWNER,JOHN D MCCLAIN,"700 COMMERCE DRIVE, SUITE 450",OAK BROOK,IL,60523,,ARCHITECT,MORDZINSKI ANDRZEJ,,,,,,CONTRACTOR-ELECTRICAL,TITAN ELECTRIC LLC,1050 SPRING LAKE DRIVE,ITASCA,IL,60143,41.88453096,-87.62460205,(630)530-4422 X,"(41.88453096378336, -87.62460204460082)"
100752613,PERMIT - RENOVATION/ALTERATION,4/2/2018,"$1,000,000.00 ",$0.00 ,$375.00 ,$375.00 ,2206,S,INDIANA,AVE,SELF CERT ARCHITECT,DUNNE COREY,,,,,,CONTRACTOR-ELECTRICAL,TITAN ELECTRIC LLC,1050 SPRING LAKE DRIVE,ITASCA,IL,60143,(630)530-4422 X,CONTRACTOR-GENERAL CONTRACTOR,"TW CHICAGO, LLC",814 BURR OAK DRIVE,WESTMONT,IL,60559,41.852637,-87.6224087,(630)546-2825,"(41.85263700127411, -87.62240870131416)"
100754927,PERMIT - ELECTRIC WIRING,4/2/2018,$750.00 ,$0.00 ,$75.00 ,$75.00 ,8159,S,SOUTH CHICAGO,AVE,CONTRACTOR-ELECTRICAL,ARC 1 ELECTRIC INC.,7707 W 98TH STREET,HICKORY HILLS,IL,60457-,(708)599-1010 x,,,,,,,,,,,,,,41.74641082,-87.57829416,,"(41.74641081851707, -87.57829415717804)"
