VIOLATION_ID,VIOLATION_LAST_MODIFIED_DATE,VIOLATION_DATE,VIOLATION CODE,VIOLATION_STATUS,VIOLATION_STATUS_DATE,VIOLATION_DESCRIPTION,VIOLATION_LOCATION,VIOLATION_INSPECTOR_COMMENTS,VIOLATION_ORDINANCE,INSPECTOR_ID,INSPECTION_NUMBER,INSPECTION_STATUS,INSPECTION_WAIVED,INSPECTION_CATEGORY,DEPARTMENT_BUREAU,ADDRESS,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,PROPERTY_GROUP,SSA,Latitude,Longitude,LOCATION
5903215,1/4/2018,1/2/2018,EV1111,OPEN,,MAINTAIN OR REPAIR HYDRO ELEVA,,REPAIR DOOR RESTRICTOR TO WORKING ORDER.,"Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",385638,12389253,FAILED,N,PERIODIC,ELEVATOR,445 N SACRAMENTO BLVD,445,N,SACRAMENTO,BLVD,39592,,41.88986775,-87.70141971,"(41.889867745157225, -87.70141970525782)"
5903214,1/4/2018,1/2/2018,EV1111,OPEN,,MAINTAIN OR REPAIR HYDRO ELEVA,,INSTALL CITY OF CHICAGO FIRE SERVICE MANDATE.,"Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",385638,12389253,FAILED,N,PERIODIC,ELEVATOR,445 N SACRAMENTO BLVD,445,N,SACRAMENTO,BLVD,39592,,41.88986775,-87.70141971,"(41.889867745157225, -87.70141970525782)"
5903213,1/4/2018,1/2/2018,EV1111,OPEN,,MAINTAIN OR REPAIR HYDRO ELEVA,,PERFORM ANNUAL PRESSURE TEST AND LEAVE CITY OF CHICAGO TAG AND DOCUMENTATION.,"Failed to maintain hydraulic elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",385638,12389253,FAILED,N,PERIODIC,ELEVATOR,445 N SACRAMENTO BLVD,445,N,SACRAMENTO,BLVD,39592,,41.88986775,-87.70141971,"(41.889867745157225, -87.70141970525782)"
5902484,3/27/2018,1/2/2018,EV1110,COMPLIED,3/23/2018,MAINTAIN OR REPAIR ELECT ELEVA,,#1 PROVIDE PROPER RUNBY FOR ( CWT ),"Failed to maintain electric elevator equipment provided at premises in safe and sound working condition. (13-196-590, 13-196-630(b), 18-30-001)",385618,12388447,PASSED,N,PERMIT,ELEVATOR,400 E RANDOLPH ST,400,E,RANDOLPH,ST,1729,,41.88464637,-87.6172485,"(41.8846463654345, -87.61724849623945)"
5904972,1/8/2018,1/2/2018,CN132016,OPEN,,HEAT UNIT ADEQUATELY,,UNIT (2232-1ST) 55 DEGREES TEMPERATURE READING.,Heat dwelling unit adequately from September 15th to June 1st. (13-196-410),BL00876,12390563,CLOSED,N,COMPLAINT,CONSERVATION,2232 E 68TH ST,2232,E,68TH,ST,19998,,41.77180217,-87.57024334,"(41.771802173952985, -87.57024333484632)"
5904971,1/8/2018,1/2/2018,CN132046,OPEN,,SAFE WORKING CONDITIONS,UNIT (2232-1ST) TEMPERATURE.READING OF 55 DEGREES BOILER IS UP BUT NOT PROVIDING ENOUGH HEAT TO THIS UNIT.,,"Provide and maintain every facility, piece of equipment, or utility in safe and sound working condition. (13-196-400, 13-196-440)",BL00876,12390563,CLOSED,N,COMPLAINT,CONSERVATION,2232 E 68TH ST,2232,E,68TH,ST,19998,,41.77180217,-87.57024334,"(41.771802173952985, -87.57024333484632)"
5901607,1/2/2018,1/2/2018,RF302021,OPEN,,PRV RECEIVER,INSPECTION,PROVIDE PRV FOR ONE 2-1/2 TON REFRIGERATION UNIT LOCATED IN BASEMENT,"Install safety valve in liquid receiver or high side of refrigeration/air conditioning system without intervening fittings or valves. (13-192-540, 13-192-610, 13-192-530)",BL00912,12381215,FAILED,N,PERIODIC,REFRIGERATION,1554 W 95TH ST,1554,W,95TH,ST,21505,69,41.72132699,-87.66253366,"(41.72132698672774, -87.66253365848958)"
5901606,1/2/2018,1/2/2018,RF301051,OPEN,,ARRANGE FOR RE-INSPECTION,CONTACT INSPECTOR #655 AT (312)743-3562 ON TUES. BETWEEN 7-8 AM,INSPECTION,"Arrange for refrigeration/air conditioning reinspection. (13-192-760, 13-12-100)",BL00912,12381215,FAILED,N,PERIODIC,REFRIGERATION,1554 W 95TH ST,1554,W,95TH,ST,21505,69,41.72132699,-87.66253366,"(41.72132698672774, -87.66253365848958)"
5901596,1/2/2018,1/2/2018,CN190029,OPEN,,ARRANGE FOR REINSPECTION REGAR,OTHER   :    :,"INTERIOR OF BUILDING /NO RESPONSE. UNABLE TO VERIFY DETECTORS, AND CONDITIONS. UNABLE TO INSPECT INTERIOR STAIRWAY SYSTEMS.",pending notice reinspection,282126,11645661,FAILED,N,PERIODIC,CONSERVATION,6972 N SHERIDAN RD,6972,N,SHERIDAN,RD,13700,24,42.00885548,-87.66213297,"(42.008855480681426, -87.66213296884901)"
5901518,1/19/2018,1/2/2018,VT1010,COMPLIED,1/19/2018,ARRANGE COMPLETED PERMIT INSP.,,,"Arrange mechanical ventilation or warm air heating system final inspection when work completed. (13-12-100, 13-176-310, 13-184-140)",BL00781,12387480,PASSED,N,PERMIT,VENTILATION,5050 N CLARK ST,5050,N,CLARK,ST,185638,22,41.97391362,-87.66830041,"(41.97391361867658, -87.66830041324025)"
