14-DigitPINNumber,StreetNumber,Dir.,StreetName,Type,Sq.Ft.,Ward,CommunityArea,ZoningClassification,TIFDistrict,Location
13-11-403-058-0000,,,,,"3,735",39,NORTH PARK,B1-2,Lawrence/Kedzie,
13-16-428-037-0000,,,,,"37,601",45,PORTAGE PARK,B1-1,Portage Park,
13-23-303-010-0000,3546,N,AVALON,AVE,"1,386",30,AVONDALE,RS-3,NOT IN TIF,"3546 N AVALON AVE
CHICAGO, IL
"
14-31-502-008-0000,2481,N,WOOD,ST,"17,104",32,LINCOLN PARK,M3-3,NOT IN TIF,"2481 N WOOD ST
CHICAGO, IL
"
14-31-502-009-0000,2481,N,WOOD,ST,"15,554",32,LINCOLN PARK,M3-3,NOT IN TIF,"2481 N WOOD ST
CHICAGO, IL
"
16-01-318-009-0000,892,N,SACRAMENTO,AVE,"3,796",26,HUMBOLDT PARK,RS-3/M1-2,Kinzie Industrial Corridor,"892 N SACRAMENTO AVE
CHICAGO, IL
"
16-02-100-001-0000,3939,W,NORTH AV,AVE,690,26,HUMBOLDT PARK,PD 1205,Pulaski Industrial Corridor,"3939 W NORTH AV AVE
CHICAGO, IL
"
16-02-100-002-0000,3939,W,NORTH AV,AVE,"11,487",26,HUMBOLDT PARK,PD 1205,Pulaski Industrial Corridor,"3939 W NORTH AV AVE
CHICAGO, IL
"
16-02-100-003-0000,3939,W,NORTH AV,AVE,"6,000",26,HUMBOLDT PARK,PD 1205,Pulaski Industrial Corridor,"3939 W NORTH AV AVE
CHICAGO, IL
"
16-02-100-004-0000,3939,W,NORTH AV,AVE,"5,999",26,HUMBOLDT PARK,PD 1205,Pulaski Industrial Corridor,"3939 W NORTH AV AVE
CHICAGO, IL
"
16-02-321-046-0000,,,,,"3,132",27,HUMBOLDT PARK,RS-3,Chicago/Central Park,
16-09-424-003-0000,4849,W,WEST END,,"9,002",28,AUSTIN,RT-4,NOT IN TIF,"4849 W WEST
CHICAGO, IL
"
16-10-105-024-0000,4650,E,ERIE,ST,"3,043",28,AUSTIN,M1-1,Northwest Industrial Corridor,"4650 E ERIE ST
CHICAGO, IL
"
16-10-418-010-0000,4327,E,WEST END,,"5,253",28,WEST GARFIELD PARK,RT-4,NOT IN TIF,"4327 E WEST
CHICAGO, IL
"
16-11-310-019-0000,,,,,"4,051",28,WEST GARFIELD PARK,RM-5,NOT IN TIF,
16-12-111-020-0000,,,,,"35,935",27,HUMBOLDT PARK,RM-5,Kinzie Industrial Corridor,
16-12-416-023-0000,2507,W,LAKE,,"2,499",27,NEAR WEST SIDE,PMD 4,Kinzie Industrial Corridor,"2507 W LAKE
CHICAGO, IL
"
16-13-304-001-0000,701,S,KEDZIE/W. FLOURNOY,,"8,459",24,EAST GARFIELD PARK,B3-2,Midwest,"701 S KEDZIE W
CHICAGO, IL
"
16-14-401-041-0000,3405,W,HARRISON/W.HOMAN,,203,24,EAST GARFIELD PARK,M1-3,Midwest,"3405 W HARRISON W
CHICAGO, IL
"
16-15-312-009-0000,4733,W,ARLINGTON,ST,"3,137",24,AUSTIN,M1-2,Roosevelt-Cicero Ind. Corridor,"4733 W ARLINGTON ST
CHICAGO, IL
"
16-22-206-001-0000,,,,,"3,536",24,NORTH LAWNDALE,C1-2,Ogden/Pulaski,
16-22-223-019-0000,,,,,"3,771",24,NORTH LAWNDALE,RT-4,Ogden/Pulaski,
16-23-224-002-0000,1505,S,ST LOUIS,,"4,371",24,NORTH LAWNDALE,RT-4,Midwest,"1505 S ST
CHICAGO, IL
"
16-24-305-002-0000,3057,W,19TH,PL,"2,898",24,SOUTH LAWNDALE,RM-5,Midwest,"3057 W 19TH PL
CHICAGO, IL
"
16-36-200-030-0000,3404,S,ROCKWELL,ST,701,12,BRIGHTON PARK,M2-3,Sanitary and Ship Canal,"3404 S ROCKWELL ST
CHICAGO, IL
"
17-04-420-018-0000,1006,N,FRANKLIN,ST,"3,393",27,NEAR NORTH SIDE,PD 477,Near North,"1006 N FRANKLIN ST
CHICAGO, IL
"
17-04-420-020-0000,1002,N,FRANKLIN,ST,"3,390",27,NEAR NORTH SIDE,PD 477,Near North,"1002 N FRANKLIN ST
CHICAGO, IL
"
17-07-331-001-0000,,,MADISON AND WARREN,,"7,535",27,NEAR WEST SIDE,RT-4,Central West,
17-07-331-003-0000,,,MADISON AND WARREN,,"2,952",27,NEAR WEST SIDE,RT-4,Central West,
17-08-233-001-0000,,,,,"3,628",27,WEST TOWN,M1-2,NOT IN TIF,
17-08-233-002-0000,,,,,"1,949",27,WEST TOWN,M1-2,NOT IN TIF,
17-08-233-004-0000,,,,,"1,213",27,WEST TOWN,M1-2,NOT IN TIF,
17-08-233-006-0000,,,,,957,27,WEST TOWN,M1-2,NOT IN TIF,
17-08-233-007-0000,,,,,"6,462",27,WEST TOWN,M1-2,NOT IN TIF,
17-08-250-020-0000,949,W,23RD,PL,451,27,WEST TOWN,M2-2,NOT IN TIF,"949 W 23RD PL
CHICAGO, IL
"
17-19-209-005-0000,,,,,"2,968",28,NEAR WEST SIDE,PD 30,Western/Ogden Ind. Corridor,
17-27-402-014-0000,,,,,"49,173",4,NEAR SOUTH SIDE,PD 1133,Bronzeville,
17-30-204-001-0000,,,,,"6,298",25,LOWER WEST SIDE,RS-3,NOT IN TIF,
17-31-502-023-0000,,,,,"2,410",12,MCKINLEY PARK,M1-2,Archer/Western,
17-31-502-024-0000,,,,,81,12,MCKINLEY PARK,M1-2,Archer/Western,
17-33-322-043-0000,3854,S,UNION,,"3,000",11,BRIDGEPORT,M1-2,NOT IN TIF,"3854 S UNION
CHICAGO, IL
"
17-33-322-044-0000,3856,S,UNION,,"2,962",11,BRIDGEPORT,M1-2,NOT IN TIF,"3856 S UNION
CHICAGO, IL
"
17-34-310-048-0000,3643,S,PRAIRIE,,"2,044",3,DOUGLAS,RM-5,Bronzeville,"3643 S PRAIRIE
CHICAGO, IL
"
17-34-312-080-0000,3648,S,DR MARTIN LUTHER KING JR,DR,"3,019",4,DOUGLAS,RM-5,NOT IN TIF,"3648 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
17-34-327-003-0000,3844,S,DR MARTIN LUTHER KING JR,DR,"5,217",3,DOUGLAS,B3-3/RM-5,Bronzeville,"3844 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
17-34-327-031-0000,3804,S,DR MARTIN LUTHER KING JR,DR,"3,461",3,DOUGLAS,PD 236,Bronzeville,"3804 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
17-34-400-024-0000,,,,,997,4,DOUGLAS,RM-5,NOT IN TIF,
17-34-400-025-0000,3611,S,DR MARTIN LUTHER KING JR,DR,"1,978",4,DOUGLAS,RM-5,NOT IN TIF,"3611 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
17-34-400-037-0000,3643,S,DR MARTIN LUTHER KING JR,DR,"4,106",4,DOUGLAS,RM-5,NOT IN TIF,"3643 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
19-12-209-014-0000,2512,W,48TH,PL,"24,549",14,BRIGHTON PARK,M2-2,Stevenson/Brighton,"2512 W 48TH PL
CHICAGO, IL
"
19-27-401-045-0000,3624,W,76TH,ST,"381,811",18,WEST LAWN,PD 216,Greater Southwest Ind. Corridor (West,"3624 W 76TH ST
CHICAGO, IL
"
20-03-111-020-0000,4022,S,DR MARTIN LUTHER KING JR,DR,"3,751",3,GRAND BOULEVARD,RM-5,47th/King,"4022 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-03-200-006-0000,3921,S,DR MARTIN LUTHER KING JR,DR,"2,798",3,GRAND BOULEVARD,RM-5,Bronzeville,"3921 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-03-200-007-0000,3923,S,DR MARTIN LUTHER KING JR,DR,"4,546",3,GRAND BOULEVARD,RM-5,Bronzeville,"3923 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-03-200-008-0000,3925,S,DR MARTIN LUTHER KING JR,DR,"4,199",3,GRAND BOULEVARD,RM-5,Bronzeville,"3925 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-03-304-011-0000,4325,S,PRAIRIE,,"2,353",3,GRAND BOULEVARD,RM-5,47th/King,"4325 S PRAIRIE
CHICAGO, IL
"
20-03-305-028-0000,4334,S,DR MARTIN LUTHER KING JR,DR,"3,777",3,GRAND BOULEVARD,RM-5,47th/King,"4334 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-03-305-033-0000,4346,S,DR MARTIN LUTHER KING JR,DR,"5,065",3,GRAND BOULEVARD,RM-5,47th/King,"4346 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-03-305-034-0000,4348,S,DR MARTIN LUTHER KING JR,DR,"3,028",3,GRAND BOULEVARD,RM-5,47th/King,"4348 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-03-323-019-0000,4640,S,DR MARTIN LUTHER KING JR,DR,"14,996",3,GRAND BOULEVARD,B3-3,47th/King,"4640 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
